period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,2093,83,61,0,0,1,0,1,0
2,2200,90,55,0,0,0,1,0,0
2,2264,93,58,0,0,0,1,1,0
2,2493,97,47,0,1,0,0,1,0
2,2494,96,46,0,1,0,0,1,1
2,2608,93,50,0,0,0,1,1,0
2,2626,80,54,0,1,0,0,0,0
2,2631,94,58,0,1,0,0,1,0
2,2748,92,48,0,0,0,1,1,0
1,241,86,41,0,1,0,0,0,0
1,562,85,49,0,0,1,0,1,0
1,969,79,44,0,0,1,0,0,0
1,1042,93,31,0,0,1,0,1,0
1,1337,90,63,0,1,0,0,1,0
1,1628,78,73,0,0,1,0,0,0
1,1630,88,64,0,1,0,0,1,0
1,2004,81,65,0,1,0,0,1,0
1,2049,79,78,0,1,0,0,1,0
1,2287,92,70,0,1,0,0,1,0
1,2518,90,69,0,1,0,0,1,0
1,2773,88,45,0,0,0,1,1,0
2,195,69,64,0,1,0,0,1,0
2,198,92,38,0,1,0,0,1,0
2,473,82,50,0,1,0,0,1,1
2,692,89,29,0,1,0,0,1,0
2,860,80,61,0,1,0,0,1,0
2,1175,73,22,0,1,0,0,1,0
2,1194,87,25,0,1,0,0,0,0
2,1289,89,45,0,0,0,1,1,0
2,1698,93,42,0,0,0,1,1,0
2,1740,93,70,0,1,0,0,0,0
2,1803,87,23,0,1,0,0,0,0
2,1950,72,58,1,1,0,0,0,0
2,1994,89,27,0,1,0,0,1,0
2,2386,87,43,0,0,1,0,1,1
2,2823,70,26,0,0,1,0,0,0
1,432,93,55,0,1,0,0,1,0
1,607,88,72,0,0,1,0,0,0
1,725,76,21,1,1,0,0,1,0
1,983,76,53,0,0,1,0,1,0
1,1398,87,72,0,1,0,0,0,0
1,1562,86,62,0,1,0,0,0,0
1,1783,79,18,0,1,0,0,1,0
1,1980,77,60,0,0,1,0,1,0
1,2305,92,44,0,0,0,1,1,0
1,2458,85,50,0,0,1,0,1,0
1,2460,87,40,0,1,0,0,0,0
1,2461,90,32,0,0,1,0,0,0
1,2620,91,27,0,0,1,0,1,0
1,2643,77,49,0,1,0,0,1,0
2,458,70,67,0,1,0,0,1,0
2,704,78,68,1,1,0,0,1,1
2,1408,93,49,0,0,0,1,1,0
2,1519,82,50,0,1,0,0,0,0
2,1727,91,48,0,0,0,1,1,1
2,1858,78,68,0,1,0,0,0,0
2,2207,65,72,0,0,1,0,0,0
2,2414,80,73,1,1,0,0,1,1
2,2542,81,65,0,1,0,0,1,0
2,2860,89,69,0,1,0,0,1,0
2,2973,87,43,0,0,1,0,0,0
2,2975,95,70,0,1,0,0,1,0
2,3003,92,46,0,0,0,1,1,0
1,162,85,37,0,1,0,0,0,0
1,431,88,30,0,0,1,0,1,0
1,1070,61,68,0,1,0,0,1,0
1,1694,86,43,0,0,1,0,1,0
1,1992,88,62,0,0,0,1,1,0
1,2209,95,36,0,0,0,1,1,0
1,2688,74,78,0,1,0,0,1,0
1,2748,72,33,0,1,0,0,1,0
2,74,89,38,0,1,0,0,1,0
2,92,95,64,0,1,0,0,1,0
2,207,90,48,0,1,0,0,0,0
2,357,97,49,0,1,0,0,1,0
2,451,93,57,0,1,0,0,1,0
2,501,81,67,0,1,0,0,1,0
2,558,91,63,0,0,0,1,0,0
2,1363,75,26,0,0,1,0,0,0
2,1519,77,53,0,0,1,0,0,0
2,1561,89,44,0,1,0,0,1,0
2,1564,84,40,0,1,0,0,0,0
2,1684,97,44,0,1,0,0,1,1
2,2051,91,41,0,0,0,1,1,0
2,2130,77,71,0,1,0,0,1,0
2,2295,82,58,0,1,0,0,0,0
2,2405,88,60,0,1,0,0,1,0
2,2561,83,38,0,1,0,0,0,0
2,2563,76,55,0,1,0,0,1,1
2,2680,88,54,0,1,0,0,0,0
2,2728,88,24,0,0,1,0,1,0
2,2835,89,64,0,0,1,0,0,0
1,985,80,68,0,1,0,0,0,0
1,1028,95,55,0,0,0,1,1,0
1,1394,74,70,0,0,1,0,1,0
