period,time,x,y,target,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,1906,77,66,1.0,0,1,0,0,1,0
2,2935,78,58,0.0,0,1,0,0,0,0
2,2937,93,43,0.0,0,0,1,0,1,0
1,804,90,55,1.0,0,0,1,0,1,1
1,1033,77,26,0.0,0,0,1,0,0,0
1,1131,95,46,0.0,0,1,0,0,1,1
1,1380,96,53,0.0,0,0,0,1,1,0
1,1422,84,43,0.0,0,1,0,0,0,0
1,1452,94,33,1.0,0,0,1,0,1,0
1,1569,89,37,0.0,0,0,1,0,0,0
1,2185,93,44,0.0,0,0,0,1,1,0
1,2557,78,39,1.0,0,0,1,0,1,0
2,576,79,77,1.0,0,1,0,0,1,0
2,636,73,76,0.0,0,1,0,0,0,0
2,795,89,68,0.0,0,0,1,0,0,0
2,973,95,46,0.0,0,0,0,1,1,0
2,1048,91,47,0.0,0,0,0,1,1,0
2,1396,82,37,0.0,0,1,0,0,0,0
2,1975,73,37,0.0,0,1,0,0,0,0
2,2095,90,66,1.0,0,0,1,0,1,0
2,2136,89,47,1.0,0,0,0,1,1,1
2,2403,93,53,0.0,0,0,0,1,0,0
2,2490,94,44,0.0,0,0,0,1,0,0
2,2733,95,54,0.0,0,1,0,0,1,1
1,91,95,70,0.0,0,1,0,0,1,0
1,251,75,36,0.0,1,1,0,0,1,0
1,337,78,50,0.0,0,1,0,0,1,0
1,2692,82,25,1.0,0,1,0,0,1,0
2,805,86,47,0.0,0,0,1,0,1,0
2,807,85,56,0.0,0,1,0,0,1,0
2,1406,70,42,0.0,0,0,1,0,0,0
2,1617,74,55,0.0,0,1,0,0,0,0
2,2094,86,55,0.0,0,1,0,0,1,0
2,2312,81,38,0.0,0,1,0,0,0,0
2,2551,80,83,0.0,1,0,1,0,0,0
2,2937,79,56,1.0,0,0,1,0,0,0
1,295,73,64,0.0,0,1,0,0,0,0
1,434,71,26,0.0,0,0,1,0,1,0
1,652,73,48,0.0,0,0,1,0,1,0
1,728,86,68,0.0,0,0,1,0,1,0
1,817,69,39,0.0,0,1,0,0,0,0
1,854,87,45,0.0,0,0,0,1,0,0
1,1179,93,34,1.0,0,0,1,0,0,0
1,1584,73,45,1.0,0,0,1,0,1,0
1,1704,90,60,0.0,0,1,0,0,1,0
1,2328,80,62,1.0,1,1,0,0,0,0
1,2331,79,55,1.0,0,1,0,0,1,0
1,2448,84,27,1.0,0,0,1,0,1,0
1,2822,95,60,1.0,0,0,0,1,1,0
2,298,92,71,0.0,0,1,0,0,0,0
2,330,76,45,1.0,0,1,0,0,0,0
2,476,85,74,1.0,0,0,1,0,0,0
2,814,91,37,1.0,0,0,1,0,1,1
2,910,91,36,0.0,0,0,1,0,1,0
2,1120,93,54,0.0,0,0,0,1,1,0
2,1390,92,63,0.0,0,0,1,0,0,0
2,1629,90,73,0.0,0,0,1,0,1,0
2,2011,93,53,0.0,0,1,0,0,1,0
2,2208,86,48,1.0,0,0,1,0,1,0
2,2302,89,56,0.0,0,1,0,0,1,0
2,2428,89,37,1.0,0,0,1,0,1,0
1,98,76,56,1.0,0,0,1,0,0,0
1,354,54,49,1.0,0,0,1,0,1,0
1,610,92,71,0.0,0,1,0,0,1,0
1,674,78,69,0.0,0,1,0,0,1,0
1,832,92,34,0.0,0,0,0,1,1,0
1,927,84,62,0.0,0,1,0,0,1,0
1,1412,79,35,1.0,0,0,1,0,0,0
1,1823,92,35,1.0,0,0,1,0,1,0
1,1979,88,43,0.0,0,1,0,0,1,0
1,2024,91,27,0.0,0,0,1,0,1,0
1,2025,97,49,0.0,0,1,0,0,1,1
1,2550,90,28,0.0,0,0,1,0,1,0
1,2553,91,33,0.0,0,0,1,0,1,0
2,296,74,43,1.0,0,1,0,0,1,0
2,753,82,29,1.0,0,1,0,0,0,0
2,944,75,39,1.0,0,1,0,0,1,0
2,1327,77,73,1.0,0,0,1,0,1,0
2,1705,99,29,1.0,0,0,1,0,1,0
2,2170,88,51,0.0,0,0,1,0,1,0
2,2524,72,38,1.0,1,1,0,0,1,0
2,2789,78,47,0.0,0,0,1,0,1,0
2,2929,88,37,0.0,0,0,1,0,1,0
1,102,92,53,0.0,0,0,0,1,1,0
1,252,79,64,1.0,0,0,1,0,0,0
1,289,91,51,1.0,0,0,0,1,1,0
1,368,87,44,0.0,0,0,1,0,1,1
1,1283,72,37,0.0,0,0,1,0,1,0
1,1347,72,43,1.0,0,0,1,0,1,0
1,1417,93,54,0.0,0,0,0,1,1,0
1,1794,88,56,1.0,0,1,0,0,1,0
1,1797,72,50,1.0,0,0,1,0,0,0
1,2116,88,54,1.0,0,0,0,1,1,0
1,2526,89,38,0.0,0,0,0,1,1,0
2,344,88,49,0.0,0,1,0,0,1,0
2,1515,71,45,1.0,0,1,0,0,1,0
2,1586,75,62,1.0,0,0,1,0,1,0
2,1608,76,34,0.0,0,1,0,0,1,0
2,1810,87,66,1.0,0,0,1,0,1,0
2,2026,88,67,1.0,0,0,0,1,0,0
2,2234,89,44,0.0,0,0,0,1,1,0
2,2563,92,25,1.0,0,1,0,0,1,0
2,2572,88,46,1.0,0,0,1,0,1,0
2,2684,79,60,0.0,0,1,0,0,1,0
2,2811,88,34,0.0,0,0,1,0,1,0
1,862,88,37,1.0,0,0,1,0,1,0
1,948,94,53,1.0,0,0,0,1,1,0
1,1969,80,78,1.0,0,1,0,0,1,0
1,2332,83,75,1.0,0,0,1,0,1,0
1,2686,72,77,1.0,0,0,1,0,0,0
1,2774,75,69,0.0,0,1,0,0,0,0
2,339,73,57,1.0,0,0,1,0,1,0
2,516,69,50,0.0,1,1,0,0,1,0
2,566,75,47,1.0,0,0,1,0,0,0
2,796,83,48,0.0,0,1,0,0,1,0
2,1042,74,38,0.0,0,0,1,0,0,0
2,1469,81,22,1.0,0,0,1,0,1,0
2,1713,88,36,1.0,0,0,0,1,1,0
2,2008,83,60,1.0,0,0,1,0,0,0
2,2213,76,56,1.0,0,0,1,0,1,0
1,257,76,62,0.0,0,1,0,0,1,0
1,686,82,54,0.0,0,0,1,0,0,0
1,1033,87,67,1.0,0,1,0,0,1,1
1,1446,91,47,1.0,0,0,0,1,1,0
1,1608,86,44,0.0,0,0,1,0,1,0
1,1970,69,44,1.0,0,0,1,0,0,0
1,2084,94,60,0.0,0,0,0,1,1,0
1,2381,91,45,0.0,0,0,0,1,1,0
2,248,92,45,1.0,0,0,1,0,1,1
2,382,89,60,0.0,0,0,0,1,1,0
2,584,74,71,0.0,1,1,0,0,0,0
2,625,88,58,0.0,0,0,0,1,0,0
2,782,91,43,0.0,0,0,0,1,1,0
2,836,88,35,0.0,0,0,1,0,1,0
2,863,89,40,0.0,0,1,0,0,1,0
2,1292,71,43,0.0,0,1,0,0,1,0
2,2272,72,43,0.0,1,1,0,0,1,0
1,17,76,65,1.0,0,0,1,0,0,0
1,472,87,47,0.0,0,0,0,1,1,0
1,511,94,74,1.0,0,1,0,0,1,0
1,541,81,73,1.0,0,0,1,0,0,0
1,542,90,43,1.0,0,1,0,0,1,0
1,761,68,55,0.0,0,1,0,0,1,0
1,998,74,55,0.0,0,0,1,0,1,0
1,1116,73,18,0.0,0,0,1,0,0,0
1,1121,86,38,0.0,0,0,1,0,1,1
1,1254,78,31,0.0,0,0,1,0,1,0
1,1365,90,25,1.0,0,0,1,0,0,0
1,1373,92,48,1.0,0,1,0,0,1,1
1,1647,87,45,0.0,0,0,0,1,1,0
1,1931,76,32,0.0,0,1,0,0,1,0
1,2290,93,25,0.0,0,0,1,0,0,0
1,2504,89,62,0.0,0,0,0,1,1,0
1,2671,94,31,1.0,0,1,0,0,1,0
1,2709,86,35,1.0,0,1,0,0,1,0
2,153,88,53,0.0,0,0,0,1,1,0
2,641,91,65,0.0,0,1,0,0,0,0
2,674,91,72,0.0,0,1,0,0,0,0
2,825,79,49,0.0,0,0,1,0,0,0
2,1141,84,68,0.0,0,0,1,0,0,0
2,1254,76,71,0.0,1,0,1,0,1,0
2,1471,79,74,0.0,0,0,1,0,0,0
2,1556,78,27,0.0,0,1,0,0,1,0
2,1661,74,73,0.0,1,0,1,0,0,0
