period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,2384,91,36,0,0,1,0,1,0
1,2428,79,32,0,0,1,0,0,0
1,2534,90,55,0,0,0,1,1,0
1,2728,87,35,0,1,0,0,0,0
1,2752,90,73,0,1,0,0,1,0
2,94,92,29,0,0,1,0,1,0
2,542,79,52,0,1,0,0,0,0
2,571,89,36,0,0,1,0,1,0
2,614,62,50,0,0,1,0,1,0
2,771,73,80,1,0,1,0,0,0
2,1026,79,42,0,1,0,0,1,0
2,1302,91,40,0,0,1,0,1,1
2,1987,71,56,1,1,0,0,0,0
2,2385,94,50,0,1,0,0,1,0
2,2561,90,68,0,1,0,0,1,0
2,2590,91,42,0,0,0,1,1,0
2,2737,74,83,0,1,0,0,0,0
2,2766,90,36,0,0,1,0,1,0
1,262,76,35,0,1,0,0,0,0
1,284,82,68,0,1,0,0,0,0
1,512,92,43,0,0,1,0,1,0
1,970,86,26,0,0,1,0,0,0
1,1287,74,60,0,0,1,0,0,0
1,1705,74,34,0,0,1,0,1,0
1,1840,87,41,0,0,1,0,1,0
1,2180,70,43,0,1,0,0,0,0
1,2304,83,51,0,0,1,0,1,0
2,325,86,50,0,0,1,0,1,1
2,782,78,38,0,1,0,0,0,0
2,1348,89,65,0,1,0,0,1,0
2,1475,74,40,0,1,0,0,0,0
2,1764,80,52,0,1,0,0,1,0
2,1809,72,59,0,1,0,0,0,0
2,2143,87,62,0,1,0,0,0,0
2,2189,85,59,0,0,1,0,1,0
2,2516,71,54,0,1,0,0,1,0
1,192,83,30,0,1,0,0,0,0
1,193,91,36,0,0,1,0,1,0
1,240,81,57,0,1,0,0,1,0
1,713,91,34,0,1,0,0,1,0
1,1124,95,39,0,0,0,1,1,1
1,1371,78,43,0,0,1,0,0,0
1,1568,93,47,0,0,0,1,1,0
1,1739,89,43,0,0,1,0,1,0
1,1835,79,30,0,0,1,0,1,0
1,2167,88,40,0,0,1,0,1,0
2,145,78,23,0,1,0,0,1,0
2,382,73,27,0,1,0,0,1,0
2,611,75,55,0,1,0,0,0,0
2,710,71,78,1,0,1,0,0,0
2,945,73,65,0,1,0,0,1,0
2,1178,75,52,0,1,0,0,0,0
2,1365,94,40,0,0,0,1,1,0
2,1736,90,71,0,1,0,0,0,0
2,1795,73,62,0,1,0,0,1,0
2,1838,71,56,0,0,1,0,0,0
2,2189,79,47,0,1,0,0,1,0
2,2514,85,50,0,1,0,0,1,0
2,2770,76,72,0,0,1,0,0,0
2,2811,96,60,0,1,0,0,1,1
1,218,80,20,0,1,0,0,1,0
1,486,75,66,0,1,0,0,0,0
1,751,79,19,0,1,0,0,0,0
1,940,72,57,0,1,0,0,0,0
1,1393,69,32,0,0,1,0,0,0
1,1510,67,79,1,1,0,0,0,0
1,1592,83,49,0,1,0,0,0,0
1,1953,89,60,0,0,1,0,0,0
1,2018,94,51,0,0,0,1,1,0
