period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,1423,82,66,0,1,0,0,0,0
2,1447,79,53,0,1,0,0,0,0
2,2065,84,52,0,1,0,0,0,0
2,2145,83,49,0,1,0,0,1,0
2,2358,94,46,0,0,0,1,1,0
2,2405,86,27,0,1,0,0,0,0
2,2416,81,68,0,0,1,0,0,0
2,2507,87,56,0,1,0,0,0,0
2,2510,78,61,0,1,0,0,1,0
2,2678,87,68,0,1,0,0,1,0
1,164,94,55,0,0,0,1,1,0
1,410,81,69,0,0,1,0,0,0
1,1048,91,48,0,0,0,1,1,0
1,1420,73,48,0,1,0,0,0,0
1,1728,78,65,0,1,0,0,1,0
1,1952,80,32,0,0,1,0,1,0
1,2136,93,43,0,1,0,0,1,0
1,2304,74,53,0,1,0,0,0,0
1,2616,91,41,0,1,0,0,1,1
2,54,94,47,0,0,0,1,1,0
2,141,82,63,0,0,1,0,0,1
2,709,93,65,0,0,0,1,0,0
2,805,74,74,0,0,1,0,0,0
2,865,78,32,0,1,0,0,1,0
2,1087,79,60,0,0,1,0,1,0
2,1169,97,32,0,0,0,1,1,0
2,1596,91,35,0,0,1,0,1,0
2,1720,76,39,0,0,1,0,1,0
2,1820,92,37,0,1,0,0,1,0
2,2123,83,28,1,1,0,0,1,0
2,2276,86,63,0,0,1,0,1,0
2,2682,90,61,0,0,1,0,1,0
1,152,74,31,0,1,0,0,1,0
1,628,89,27,0,1,0,0,1,0
1,785,90,58,0,0,0,1,1,0
1,1117,93,41,0,1,0,0,1,0
1,1128,91,53,0,1,0,0,1,0
1,1336,88,56,0,1,0,0,1,0
1,1677,73,66,0,1,0,0,1,0
1,1814,89,50,0,1,0,0,1,0
1,2080,92,37,0,0,0,1,1,0
1,2147,86,69,0,0,1,0,1,0
1,2388,89,62,0,0,1,0,1,0
2,337,81,50,0,0,1,0,1,0
2,700,89,50,0,0,0,1,1,0
2,1085,72,45,0,0,1,0,1,0
2,1370,74,40,0,0,1,0,0,0
2,1377,90,68,0,1,0,0,1,0
2,1737,75,75,0,0,1,0,1,0
2,1820,83,67,0,1,0,0,0,0
2,1846,89,51,0,0,0,1,1,0
2,2205,82,55,0,1,0,0,1,0
2,2364,85,52,0,1,0,0,1,0
2,2737,97,41,0,0,0,1,1,0
1,317,90,67,0,0,0,1,1,0
1,405,89,41,0,1,0,0,1,0
1,582,94,75,0,1,0,0,1,0
1,945,74,29,0,0,1,0,0,0
1,980,92,47,0,0,0,1,1,1
1,1124,93,65,0,1,0,0,1,0
1,1482,88,70,0,0,1,0,1,0
1,1885,88,41,0,1,0,0,1,0
1,2023,80,56,0,1,0,0,0,0
1,2084,74,50,0,0,1,0,0,0
1,2358,87,30,0,1,0,0,1,1
1,2482,90,61,0,1,0,0,1,0
2,57,81,29,0,0,1,0,1,0
2,203,80,31,0,1,0,0,0,0
2,455,90,42,0,0,0,1,1,0
2,537,91,66,0,0,1,0,1,0
2,541,85,57,0,1,0,0,1,0
2,688,87,42,0,0,1,0,1,1
2,913,74,77,0,1,0,0,0,0
2,1012,87,63,0,0,1,0,1,0
2,1405,90,33,0,1,0,0,1,0
2,1452,87,54,0,1,0,0,1,0
2,1918,95,56,0,0,0,1,1,1
2,2156,74,64,0,0,1,0,1,0
2,2488,77,69,0,0,1,0,1,0
2,2597,90,48,0,0,0,1,1,0
2,2739,93,30,0,0,1,0,1,0
1,25,95,69,0,1,0,0,1,0
1,201,70,38,0,1,0,0,1,0
1,722,78,52,0,1,0,0,0,0
1,1067,90,45,0,0,1,0,1,0
1,1123,91,67,0,1,0,0,1,0
1,1186,85,64,0,0,1,0,1,0
1,1366,79,60,0,1,0,0,1,0
1,1414,70,57,0,1,0,0,1,0
1,1639,71,49,0,1,0,0,0,0
1,1711,81,40,0,0,1,0,0,0
1,1804,76,45,0,1,0,0,1,0
1,2089,73,39,0,1,0,0,1,0
1,2199,76,36,1,1,0,0,0,0
1,2442,93,42,0,0,0,1,1,0
2,91,78,31,0,0,1,0,0,0
2,562,74,73,0,0,1,0,0,0
2,675,95,67,0,0,1,0,1,0
2,1115,92,64,0,0,1,0,0,0
2,1120,78,29,0,0,1,0,0,0
2,1250,94,73,0,1,0,0,1,0
2,1468,91,61,0,1,0,0,1,1
2,1583,88,25,0,0,1,0,1,0
2,1624,67,44,0,1,0,0,1,0
2,1724,78,63,0,0,1,0,1,0
2,2029,72,71,0,1,0,0,1,0
2,2185,89,30,0,1,0,0,1,0
2,2186,96,54,0,1,0,0,1,1
2,2871,94,40,0,1,0,0,1,0
2,2933,93,62,0,1,0,0,1,0
1,429,91,57,0,1,0,0,1,0
1,1047,83,49,0,1,0,0,1,0
1,1743,79,77,0,0,1,0,0,0
1,1844,92,30,0,0,1,0,1,0
1,1909,77,51,0,0,1,0,0,0
1,2106,91,49,0,1,0,0,1,1
1,2316,82,27,0,0,1,0,1,0
1,2519,97,60,0,1,0,0,1,0
1,2985,77,35,0,0,1,0,1,0
1,3046,73,64,0,0,1,0,0,0
2,247,76,77,0,0,1,0,0,0
2,415,72,31,0,0,1,0,1,0
2,417,89,47,0,1,0,0,1,0
