period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,1197,88,22,0,1,0,0,0,0
2,1214,87,42,0,0,1,0,1,1
2,1325,74,73,0,0,1,0,0,0
2,1413,71,52,1,1,0,0,1,0
2,1566,85,48,0,0,1,0,0,0
2,1733,85,56,0,0,1,0,1,0
2,1846,78,42,0,0,1,0,1,0
2,2139,81,63,0,1,0,0,0,0
2,2393,89,34,0,0,1,0,1,0
2,2733,79,57,0,0,1,0,0,0
2,2771,88,75,0,1,0,0,1,0
2,2800,91,44,0,1,0,0,1,0
1,312,89,55,0,1,0,0,1,0
1,452,82,73,0,0,1,0,1,0
1,716,93,35,0,0,0,1,1,0
1,1300,73,50,0,0,1,0,1,0
1,1338,88,62,0,0,1,0,1,0
1,1392,76,53,0,0,1,0,1,0
1,1590,89,37,0,0,1,0,1,0
1,1678,90,43,0,0,0,1,1,0
1,1680,94,60,0,1,0,0,1,0
1,1681,97,54,0,0,1,0,1,1
1,1904,89,47,0,0,1,0,1,0
1,2298,87,58,0,1,0,0,1,0
1,2327,94,44,0,0,0,1,1,0
1,2468,81,63,0,1,0,0,1,0
2,351,77,25,0,0,1,0,0,0
2,483,80,67,0,1,0,0,0,0
2,612,93,59,0,0,0,1,1,0
2,1318,90,47,0,1,0,0,1,0
2,1327,70,49,0,1,0,0,0,0
2,1665,96,42,0,0,1,0,1,0
2,1909,74,71,1,1,0,0,1,0
2,2439,93,69,0,1,0,0,1,0
2,2590,90,59,0,0,0,1,1,0
2,2755,76,48,0,1,0,0,0,0
2,2794,83,15,0,0,1,0,1,0
2,2884,85,50,0,0,1,0,1,0
1,142,90,51,0,0,0,1,0,0
1,240,90,50,0,0,1,0,1,1
1,339,87,33,0,1,0,0,1,0
1,474,75,64,0,1,0,0,0,0
1,477,91,62,0,1,0,0,1,0
1,797,87,34,0,1,0,0,1,0
1,834,86,41,0,1,0,0,1,0
1,1004,80,34,0,0,1,0,1,0
1,1364,96,56,0,0,0,1,1,0
1,1597,79,53,0,0,1,0,1,0
1,1741,73,21,1,1,0,0,0,0
1,1781,92,64,0,0,1,0,0,0
1,1841,94,41,0,0,0,1,1,1
1,2064,72,56,1,1,0,0,1,1
1,2187,79,18,0,1,0,0,0,0
1,2494,80,43,0,1,0,0,1,0
2,505,94,36,0,1,0,0,1,0
2,823,79,77,0,0,1,0,0,0
2,1105,86,61,0,0,1,0,1,0
2,1143,87,46,0,0,1,0,1,0
2,1549,88,60,0,1,0,0,1,0
2,1629,92,46,0,0,0,1,1,0
2,1906,91,54,0,0,0,1,1,0
2,1967,87,31,0,1,0,0,0,0
2,1986,89,33,0,0,1,0,0,0
2,2098,90,39,0,1,0,0,1,0
2,2222,74,54,0,1,0,0,1,0
2,2474,92,47,0,0,0,1,0,0
2,2638,73,64,0,0,1,0,0,0
2,2767,75,41,0,1,0,0,1,0
2,2825,72,61,0,0,1,0,0,0
1,143,89,49,0,1,0,0,1,1
1,262,92,35,0,0,1,0,1,1
